source_degree	target_degree	n_dwpcs_mean	n_nonzero_dwpcs_mean	dwpc_mean	nonzero_dwpc_mean	nonzero_dwpc_sd	pc_mean	dwpc_density	metric_type	metapath	n_perms	dwpc_beta	dwpc_alpha
0	0	1.9505e+06	0	0				0	permuted	CbGpPWpG	200		
0	0	1.9505e+06	0	0			0	0	unpermuted	CbGpPWpG			
0	1	1.7555e+05	0	0				0	permuted	CbGpPWpG	200		
0	1	1.7555e+05	0	0			0	0	unpermuted	CbGpPWpG			
0	2	1.6072e+05	0	0				0	permuted	CbGpPWpG	200		
0	2	1.6072e+05	0	0			0	0	unpermuted	CbGpPWpG			
0	3	1.1899e+05	0	0				0	permuted	CbGpPWpG	200		
0	3	1.1899e+05	0	0			0	0	unpermuted	CbGpPWpG			
0	4	2.0701e+05	0	0				0	permuted	CbGpPWpG	200		
0	4	2.0701e+05	0	0			0	0	unpermuted	CbGpPWpG			
0	5	1.2681e+05	0	0				0	permuted	CbGpPWpG	200		
0	5	1.2681e+05	0	0			0	0	unpermuted	CbGpPWpG			
0	6	98778	0	0				0	permuted	CbGpPWpG	200		
0	6	98778	0	0			0	0	unpermuted	CbGpPWpG			
0	7	83130	0	0				0	permuted	CbGpPWpG	200		
0	7	83130	0	0			0	0	unpermuted	CbGpPWpG			
0	8	65526	0	0				0	permuted	CbGpPWpG	200		
0	8	65526	0	0			0	0	unpermuted	CbGpPWpG			
0	9	61777	0	0				0	permuted	CbGpPWpG	200		
0	9	61777	0	0			0	0	unpermuted	CbGpPWpG			
0	10	47922	0	0				0	permuted	CbGpPWpG	200		
0	10	47922	0	0			0	0	unpermuted	CbGpPWpG			
0	11	33089	0	0				0	permuted	CbGpPWpG	200		
0	11	33089	0	0			0	0	unpermuted	CbGpPWpG			
0	12	29340	0	0				0	permuted	CbGpPWpG	200		
0	12	29340	0	0			0	0	unpermuted	CbGpPWpG			
0	13	29177	0	0				0	permuted	CbGpPWpG	200		
0	13	29177	0	0			0	0	unpermuted	CbGpPWpG			
0	14	18745	0	0				0	permuted	CbGpPWpG	200		
0	14	18745	0	0			0	0	unpermuted	CbGpPWpG			
0	15	16463	0	0				0	permuted	CbGpPWpG	200		
0	15	16463	0	0			0	0	unpermuted	CbGpPWpG			
0	16	12551	0	0				0	permuted	CbGpPWpG	200		
0	16	12551	0	0			0	0	unpermuted	CbGpPWpG			
0	17	8802	0	0				0	permuted	CbGpPWpG	200		
0	17	8802	0	0			0	0	unpermuted	CbGpPWpG			
0	18	9617	0	0				0	permuted	CbGpPWpG	200		
0	18	9617	0	0			0	0	unpermuted	CbGpPWpG			
0	19	8313	0	0				0	permuted	CbGpPWpG	200		
0	19	8313	0	0			0	0	unpermuted	CbGpPWpG			
0	20	7172	0	0				0	permuted	CbGpPWpG	200		
0	20	7172	0	0			0	0	unpermuted	CbGpPWpG			
0	21	13692	0	0				0	permuted	CbGpPWpG	200		
0	21	13692	0	0			0	0	unpermuted	CbGpPWpG			
0	22	7661	0	0				0	permuted	CbGpPWpG	200		
0	22	7661	0	0			0	0	unpermuted	CbGpPWpG			
0	23	7009	0	0				0	permuted	CbGpPWpG	200		
0	23	7009	0	0			0	0	unpermuted	CbGpPWpG			
0	24	6683	0	0				0	permuted	CbGpPWpG	200		
0	24	6683	0	0			0	0	unpermuted	CbGpPWpG			
0	25	9617	0	0				0	permuted	CbGpPWpG	200		
0	25	9617	0	0			0	0	unpermuted	CbGpPWpG			
0	26	3423	0	0				0	permuted	CbGpPWpG	200		
0	26	3423	0	0			0	0	unpermuted	CbGpPWpG			
0	27	2771	0	0				0	permuted	CbGpPWpG	200		
0	27	2771	0	0			0	0	unpermuted	CbGpPWpG			
