position	identifier	name
0	DB00014	Goserelin
1	DB00035	Desmopressin
2	DB00050	Cetrorelix
3	DB00091	Cyclosporine
4	DB00093	Felypressin
5	DB00104	Octreotide
6	DB00115	Cyanocobalamin
7	DB00116	Tetrahydrofolic acid
8	DB00117	L-Histidine
9	DB00118	S-Adenosylmethionine
10	DB00119	Pyruvic acid
11	DB00120	L-Phenylalanine
12	DB00121	Biotin
13	DB00122	Choline
14	DB00123	L-Lysine
15	DB00125	L-Arginine
16	DB00126	Vitamin C
17	DB00127	Spermine
18	DB00128	L-Aspartic Acid
19	DB00129	L-Ornithine
20	DB00130	L-Glutamine
21	DB00131	Adenosine monophosphate
22	DB00132	Alpha-Linolenic Acid
23	DB00133	L-Serine
24	DB00134	L-Methionine
25	DB00135	L-Tyrosine
26	DB00136	Calcitriol
27	DB00137	Xanthophyll
28	DB00138	L-Cystine
29	DB00139	Succinic acid
30	DB00140	Riboflavin
31	DB00141	N-Acetyl-D-glucosamine
32	DB00143	Glutathione
33	DB00144	Phosphatidylserine
34	DB00145	Glycine
35	DB00146	Calcidiol
36	DB00147	Pyridoxal
37	DB00148	Creatine
38	DB00149	L-Leucine
39	DB00150	L-Tryptophan
40	DB00151	L-Cysteine
41	DB00152	Thiamine
42	DB00153	Ergocalciferol
43	DB00154	Dihomo-gamma-linolenic acid
44	DB00155	L-Citrulline
45	DB00156	L-Threonine
46	DB00158	Folic Acid
47	DB00159	Icosapent
48	DB00160	L-Alanine
49	DB00161	L-Valine
50	DB00162	Vitamin A
51	DB00163	Vitamin E
52	DB00165	Pyridoxine
53	DB00166	Lipoic Acid
54	DB00167	L-Isoleucine
55	DB00168	Aspartame
56	DB00169	Cholecalciferol
57	DB00170	Menadione
58	DB00171	Adenosine triphosphate
59	DB00172	L-Proline
60	DB00173	Adenine
61	DB00174	L-Asparagine
62	DB00175	Pravastatin
63	DB00176	Fluvoxamine
64	DB00177	Valsartan
65	DB00178	Ramipril
66	DB00179	Masoprocol
67	DB00180	Flunisolide
