position	identifier	name
0	UBERON:0000002	uterine cervix
1	UBERON:0000004	nose
2	UBERON:0000006	islet of Langerhans
3	UBERON:0000007	pituitary gland
4	UBERON:0000010	peripheral nervous system
5	UBERON:0000011	parasympathetic nervous system
6	UBERON:0000013	sympathetic nervous system
7	UBERON:0000020	sense organ
8	UBERON:0000026	appendage
9	UBERON:0000029	lymph node
10	UBERON:0000033	head
11	UBERON:0000038	follicular fluid
12	UBERON:0000042	serous membrane
13	UBERON:0000043	tendon
14	UBERON:0000045	ganglion
15	UBERON:0000053	macula lutea
16	UBERON:0000054	macula
17	UBERON:0000056	ureter
18	UBERON:0000057	urethra
19	UBERON:0000165	mouth
20	UBERON:0000178	blood
21	UBERON:0000211	ligament
22	UBERON:0000473	testis
23	UBERON:0000474	female reproductive system
24	UBERON:0000482	basal lamina of epithelium
25	UBERON:0000483	epithelium
26	UBERON:0000922	embryo
27	UBERON:0000941	cranial nerve II
28	UBERON:0000946	cardial valve
29	UBERON:0000948	heart
30	UBERON:0000949	endocrine system
31	UBERON:0000955	brain
32	UBERON:0000959	optic chiasma
33	UBERON:0000964	cornea
34	UBERON:0000966	retina
35	UBERON:0000970	eye
36	UBERON:0000974	neck
37	UBERON:0000975	sternum
38	UBERON:0000977	pleura
39	UBERON:0000978	leg
40	UBERON:0000982	skeletal joint
41	UBERON:0000985	axillary vein
42	UBERON:0000988	pons
43	UBERON:0000989	penis
44	UBERON:0000991	gonad
45	UBERON:0000992	female gonad
46	UBERON:0000993	oviduct
47	UBERON:0000995	uterus
48	UBERON:0000996	vagina
49	UBERON:0000997	mammalian vulva
50	UBERON:0000998	seminal vesicle
51	UBERON:0000999	ejaculatory duct
52	UBERON:0001000	vas deferens
53	UBERON:0001003	skin epidermis
54	UBERON:0001004	respiratory system
55	UBERON:0001007	digestive system
56	UBERON:0001008	renal system
57	UBERON:0001011	hemolymph
58	UBERON:0001013	adipose tissue
59	UBERON:0001016	nervous system
60	UBERON:0001017	central nervous system
61	UBERON:0001021	nerve
62	UBERON:0001031	sheath of Schwann
63	UBERON:0001037	strand of hair
64	UBERON:0001044	saliva-secreting gland
65	UBERON:0001064	ventral pancreatic duct
66	UBERON:0001067	vertebral arch joint
67	UBERON:0001070	external carotid artery
68	UBERON:0001072	posterior vena cava
69	UBERON:0001088	urine
70	UBERON:0001089	sweat
71	UBERON:0001090	synovial fluid
72	UBERON:0001093	vertebral bone 2
73	UBERON:0001103	diaphragm
74	UBERON:0001105	clavicle bone
75	UBERON:0001111	intercostal muscle
76	UBERON:0001130	vertebral column
77	UBERON:0001132	parathyroid gland
