position	identifier	name
0	GO:0000010	trans-hexaprenyltranstransferase activity
1	GO:0000014	single-stranded DNA endodeoxyribonuclease activity
2	GO:0000026	alpha-1,2-mannosyltransferase activity
3	GO:0000030	mannosyltransferase activity
4	GO:0000033	alpha-1,3-mannosyltransferase activity
5	GO:0000049	tRNA binding
6	GO:0000062	fatty-acyl-CoA binding
7	GO:0000064	L-ornithine transmembrane transporter activity
8	GO:0000099	sulfur amino acid transmembrane transporter activity
9	GO:0000104	succinate dehydrogenase activity
10	GO:0000146	microfilament motor activity
11	GO:0000149	SNARE binding
12	GO:0000150	recombinase activity
13	GO:0000155	phosphorelay sensor kinase activity
14	GO:0000171	ribonuclease MRP activity
15	GO:0000175	3'-5'-exoribonuclease activity
16	GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity
17	GO:0000182	rDNA binding
18	GO:0000213	tRNA-intron endonuclease activity
19	GO:0000217	DNA secondary structure binding
20	GO:0000248	C-5 sterol desaturase activity
21	GO:0000253	3-keto sterol reductase activity
22	GO:0000268	peroxisome targeting sequence binding
23	GO:0000287	magnesium ion binding
24	GO:0000293	ferric-chelate reductase activity
25	GO:0000295	adenine nucleotide transmembrane transporter activity
26	GO:0000309	nicotinamide-nucleotide adenylyltransferase activity
27	GO:0000339	RNA cap binding
28	GO:0000340	RNA 7-methylguanosine cap binding
29	GO:0000384	first spliceosomal transesterification activity
30	GO:0000386	second spliceosomal transesterification activity
31	GO:0000400	four-way junction DNA binding
32	GO:0000403	Y-form DNA binding
33	GO:0000404	heteroduplex DNA loop binding
34	GO:0000405	bubble DNA binding
35	GO:0000406	double-strand/single-strand DNA junction binding
36	GO:0000700	mismatch base pair DNA N-glycosylase activity
37	GO:0000702	oxidized base lesion DNA N-glycosylase activity
38	GO:0000703	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity
39	GO:0000774	adenyl-nucleotide exchange factor activity
40	GO:0000827	inositol-1,3,4,5,6-pentakisphosphate kinase activity
41	GO:0000828	inositol hexakisphosphate kinase activity
42	GO:0000832	inositol hexakisphosphate 5-kinase activity
43	GO:0000900	translation repressor activity, nucleic acid binding
44	GO:0000975	regulatory region DNA binding
45	GO:0000976	transcription regulatory region sequence-specific DNA binding
46	GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding
47	GO:0000978	RNA polymerase II core promoter proximal region sequence-specific DNA binding
48	GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding
49	GO:0000980	RNA polymerase II distal enhancer sequence-specific DNA binding
50	GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding
51	GO:0000982	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding
52	GO:0000983	transcription factor activity, RNA polymerase II core promoter sequence-specific
53	GO:0000987	core promoter proximal region sequence-specific DNA binding
54	GO:0000988	transcription factor activity, protein binding
55	GO:0000989	transcription factor activity, transcription factor binding
56	GO:0000990	transcription factor activity, core RNA polymerase binding
57	GO:0000993	RNA polymerase II core binding
58	GO:0001010	transcription factor activity, sequence-specific DNA binding transcription factor recruiting
59	GO:0001012	RNA polymerase II regulatory region DNA binding
60	GO:0001013	RNA polymerase I regulatory region DNA binding
61	GO:0001016	RNA polymerase III regulatory region DNA binding
62	GO:0001025	RNA polymerase III transcription factor binding
63	GO:0001030	RNA polymerase III type 1 promoter DNA binding
64	GO:0001031	RNA polymerase III type 2 promoter DNA binding
65	GO:0001032	RNA polymerase III type 3 promoter DNA binding
66	GO:0001042	RNA polymerase I core binding
67	GO:0001046	core promoter sequence-specific DNA binding
68	GO:0001047	core promoter binding
69	GO:0001054	RNA polymerase I activity
70	GO:0001055	RNA polymerase II activity
71	GO:0001056	RNA polymerase III activity
72	GO:0001067	regulatory region nucleic acid binding
73	GO:0001075	transcription factor activity, RNA polymerase II core promoter sequence-specific binding involved in preinitiation complex assembly
74	GO:0001076	transcription factor activity, RNA polymerase II transcription factor binding
75	GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding
76	GO:0001078	transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding
77	GO:0001083	transcription factor activity, RNA polymerase II basal transcription factor binding
78	GO:0001085	RNA polymerase II transcription factor binding
79	GO:0001091	RNA polymerase II basal transcription factor binding
80	GO:0001094	TFIID-class transcription factor binding
81	GO:0001098	basal transcription machinery binding
82	GO:0001099	basal RNA polymerase II transcription machinery binding
83	GO:0001102	RNA polymerase II activating transcription factor binding
84	GO:0001103	RNA polymerase II repressing transcription factor binding
85	GO:0001104	RNA polymerase II transcription cofactor activity
86	GO:0001105	RNA polymerase II transcription coactivator activity
87	GO:0001106	RNA polymerase II transcription corepressor activity
88	GO:0001134	transcription factor activity, transcription factor recruiting
89	GO:0001135	transcription factor activity, RNA polymerase II transcription factor recruiting
90	GO:0001147	transcription termination site sequence-specific DNA binding
91	GO:0001156	TFIIIC-class transcription factor binding
92	GO:0001158	enhancer sequence-specific DNA binding
93	GO:0001159	core promoter proximal region DNA binding
94	GO:0001160	transcription termination site DNA binding
95	GO:0001161	intronic transcription regulatory region sequence-specific DNA binding
96	GO:0001162	RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding
97	GO:0001163	RNA polymerase I regulatory region sequence-specific DNA binding
98	GO:0001164	RNA polymerase I CORE element sequence-specific DNA binding
99	GO:0001179	RNA polymerase I transcription factor binding
100	GO:0001190	transcriptional activator activity, RNA polymerase II transcription factor binding
101	GO:0001191	transcriptional repressor activity, RNA polymerase II transcription factor binding
102	GO:0001205	transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific binding
103	GO:0001206	transcriptional repressor activity, RNA polymerase II distal enhancer sequence-specific binding
104	GO:0001221	transcription cofactor binding
105	GO:0001222	transcription corepressor binding
106	GO:0001223	transcription coactivator binding
107	GO:0001227	transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding
108	GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding
109	GO:0001515	opioid peptide activity
110	GO:0001517	N-acetylglucosamine 6-O-sulfotransferase activity
