position	identifier	name
0	N0000000069	Calcium Channel Antagonists
1	N0000000070	Angiotensin 2 Receptor Antagonists
2	N0000000083	Leukotriene Receptor Antagonists
3	N0000000100	Estrogen Receptor Agonists
4	N0000000102	Norepinephrine Uptake Inhibitors
5	N0000000104	Cholinergic Muscarinic Agonists
6	N0000000106	Prostaglandin Receptor Agonists
7	N0000000109	Serotonin Uptake Inhibitors
8	N0000000111	Folic Acid Metabolism Inhibitors
9	N0000000114	Dopamine Uptake Inhibitors
10	N0000000115	Progestational Hormone Receptor Antagonists
11	N0000000116	GABA B Agonists
12	N0000000122	Adrenergic Agonists
13	N0000000125	Cholinergic Muscarinic Antagonists
14	N0000000144	Iron Chelating Activity
15	N0000000146	Androgen Receptor Agonists
16	N0000000150	Protein Synthesis Inhibitors
17	N0000000151	Histamine H2 Receptor Antagonists
18	N0000000154	Opioid Antagonists
19	N0000000160	Cyclooxygenase Inhibitors
20	N0000000166	alpha Glucosidase Inhibitors
21	N0000000168	Selective Estrogen Receptor Modulators
22	N0000000174	Opioid Agonists
23	N0000000176	Topoisomerase Inhibitors
24	N0000000183	Acetyl Aldehyde Dehydrogenase Inhibitors
25	N0000000190	Histamine H1 Receptor Antagonists
26	N0000000191	Dihydrofolate Reductase Inhibitors
27	N0000000194	Somatostatin Receptor Agonists
28	N0000000196	GABA A Agonists
29	N0000000202	beta Lactamase Inhibitors
30	N0000000206	Xanthine Oxidase Inhibitors
31	N0000000207	Histamine Receptor Antagonists
32	N0000000209	Adrenergic alpha-Agonists
33	N0000000233	Nucleic Acid Synthesis Inhibitors
34	N0000000235	Carbonic Anhydrase Inhibitors
35	N0000000236	Alkylating Activity
36	N0000000239	P-Glycoprotein Interactions
37	N0000000243	Androgen Receptor Antagonists
38	N0000000246	HIV Protease Inhibitors
39	N0000000250	Melatonin Receptor Agonists
40	N0000005760	Aminosalicylic Acids
41	N0000005934	Progesterone
42	N0000006014	Pyrethrins
43	N0000006165	Triiodothyronine
44	N0000006269	Vitamin A
45	N0000006276	Vitamin B 12
46	N0000006277	Vitamin D
47	N0000006290	Vitamin K
48	N0000006320	Vasopressins
49	N0000006337	Ergocalciferols
50	N0000006496	Nicotine
51	N0000006688	Carnitine
52	N0000006801	Bile Acids and Salts
53	N0000006806	Amino Acids
54	N0000006996	Cholecalciferol
55	N0000006999	Urea
56	N0000007151	Folic Acid
57	N0000007196	Iodine
58	N0000007246	Estradiol
59	N0000007522	Allylamine
60	N0000007529	Macrolides
61	N0000007530	Anthracyclines
62	N0000007542	Benzodiazepines
63	N0000007544	Phenothiazines
64	N0000007556	Dihydropyridines
65	N0000007566	Benzylamines
66	N0000007568	Oxazolidinones
67	N0000007570	Pyridines
68	N0000007606	Quinolones
69	N0000007618	Ergolines
70	N0000007620	Ergot Alkaloids
71	N0000007621	Ergotamines
72	N0000007632	Thyroxine
73	N0000007641	Nicotinic Acids
74	N0000007647	Nitrates
75	N0000007658	Nitrofurans
