position	identifier	name
0	GO:0000015	phosphopyruvate hydratase complex
1	GO:0000109	nucleotide-excision repair complex
2	GO:0000110	nucleotide-excision repair factor 1 complex
3	GO:0000118	histone deacetylase complex
4	GO:0000120	RNA polymerase I transcription factor complex
5	GO:0000123	histone acetyltransferase complex
6	GO:0000124	SAGA complex
7	GO:0000125	PCAF complex
8	GO:0000126	transcription factor TFIIIB complex
9	GO:0000127	transcription factor TFIIIC complex
10	GO:0000137	Golgi cis cisterna
11	GO:0000138	Golgi trans cisterna
12	GO:0000139	Golgi membrane
13	GO:0000145	exocyst
14	GO:0000151	ubiquitin ligase complex
15	GO:0000152	nuclear ubiquitin ligase complex
16	GO:0000153	cytoplasmic ubiquitin ligase complex
17	GO:0000159	protein phosphatase type 2A complex
18	GO:0000164	protein phosphatase type 1 complex
19	GO:0000172	ribonuclease MRP complex
20	GO:0000176	nuclear exosome (RNase complex)
21	GO:0000177	cytoplasmic exosome (RNase complex)
22	GO:0000178	exosome (RNase complex)
23	GO:0000214	tRNA-intron endonuclease complex
24	GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain
25	GO:0000228	nuclear chromosome
26	GO:0000229	cytoplasmic chromosome
27	GO:0000235	astral microtubule
28	GO:0000242	pericentriolar material
29	GO:0000243	commitment complex
30	GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)
31	GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
32	GO:0000306	extrinsic component of vacuolar membrane
33	GO:0000307	cyclin-dependent protein kinase holoenzyme complex
34	GO:0000308	cytoplasmic cyclin-dependent protein kinase holoenzyme complex
35	GO:0000313	organellar ribosome
36	GO:0000314	organellar small ribosomal subunit
37	GO:0000315	organellar large ribosomal subunit
38	GO:0000322	storage vacuole
39	GO:0000323	lytic vacuole
40	GO:0000333	telomerase catalytic core complex
41	GO:0000346	transcription export complex
42	GO:0000347	THO complex
43	GO:0000407	pre-autophagosomal structure
44	GO:0000421	autophagosome membrane
45	GO:0000428	DNA-directed RNA polymerase complex
46	GO:0000439	core TFIIH complex
47	GO:0000444	MIS12/MIND type complex
48	GO:0000445	THO complex part of transcription export complex
49	GO:0000502	proteasome complex
50	GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
51	GO:0000775	chromosome, centromeric region
52	GO:0000776	kinetochore
