position	identifier	name
0	C0000727	Acute abdomen
1	C0000729	Abdominal cramps
2	C0000731	Abdominal distension
3	C0000735	Abdominal neoplasm
4	C0000737	Abdominal pain
5	C0000768	Congenital anomaly
6	C0000772	Multiple congenital abnormalities
7	C0000786	Abortion spontaneous
8	C0000814	Abortion missed
9	C0000817	Abortion infected
10	C0000832	Premature separation of placenta
11	C0000833	Abscess
12	C0000889	Acanthosis nigricans
13	C0000924	Accident
14	C0000932	Traffic accident
15	C0001122	Acidosis
16	C0001125	Lactic acidosis
17	C0001126	Renal tubular acidosis
18	C0001127	Respiratory acidosis
19	C0001144	Acne vulgaris
20	C0001175	Acquired immunodeficiency syndrome
21	C0001198	Acrodynia
22	C0001206	Acromegaly
23	C0001231	Ectopic ACTH syndrome
24	C0001339	Pancreatitis acute
25	C0001349	Acute phase reaction
26	C0001361	Acute tonsillitis
27	C0001364	Acute yellow liver atrophy
28	C0001396	Adams-Stokes syndrome
29	C0001403	Addison's disease
30	C0001416	Adenitis
31	C0001418	Adenocarcinoma
32	C0001430	Adenoma benign
33	C0001486	Adenovirus infection
34	C0001511	Adhesion
35	C0001546	Adjustment disorder
36	C0001621	Adrenal disorder
37	C0001622	Hyperadrenocorticism
38	C0001623	Adrenal insufficiency
39	C0001707	Aerophagia
40	C0001807	Aggression
41	C0001816	Agnosia
42	C0001818	Agoraphobia
43	C0001824	Agranulocytosis
44	C0001849	AIDS dementia complex
45	C0001883	Airway obstruction NOS
46	C0001916	Albinism
47	C0001925	Albuminuria
48	C0001957	Delirium tremens
49	C0001969	Alcohol intoxication
50	C0001973	Alcoholism
51	C0002063	Alkalosis
52	C0002064	Respiratory alkalosis
53	C0002103	Atopic rhinitis
54	C0002170	Alopecia
55	C0002390	Alveolitis allergic
56	C0002395	Dementia Alzheimer's type
57	C0002418	Amblyopia
58	C0002447	Amelia
59	C0002453	Amenorrhoea
60	C0002622	Amnesia
61	C0002624	Retrograde amnesia
62	C0002631	Amniotic cavity infection
63	C0002726	Amyloidosis
64	C0002792	Anaphylactic shock
65	C0002871	Anaemia
66	C0002874	Aplastic anaemia
67	C0002878	Haemolytic anaemia
68	C0002880	Autoimmune haemolytic anaemia
69	C0002884	Hypochromic anaemia
70	C0002886	Anaemia macrocytic
71	C0002888	Anaemia megaloblastic
72	C0002891	Anaemia neonatal
73	C0002893	Refractory anemia
74	C0002894	Refractory anaemia with an excess of blasts
75	C0002895	Sickle cell anaemia
76	C0002896	Sideroblastic anaemia
77	C0002902	Anencephaly
78	C0002928	Spinal anaesthesia
79	C0002940	Aneurysm
80	C0002957	Anger
81	C0002962	Angina pectoris
82	C0002963	Prinzmetal angina
83	C0002965	Angina unstable
84	C0002994	Angioedema
85	C0003028	Anhidrosis
86	C0003044	Animal bite
87	C0003079	Pupils unequal
88	C0003119	Anophthalmos
89	C0003123	Anorexia
90	C0003126	Anosmia
91	C0003128	Anovulation
92	C0003130	Anoxia
93	C0003175	Anthrax
94	C0003431	Antisocial personality disorder
95	C0003460	Anuria
96	C0003462	Anus disorder
97	C0003466	Anal atresia
98	C0003467	Anxiety
99	C0003469	Anxiety disorder
100	C0003486	Aortic aneurysm
101	C0003492	Coarctation of the aorta
102	C0003493	Aortic disorder
103	C0003504	Aortic valve incompetence
104	C0003507	Aortic valve stenosis
105	C0003537	Aphasia
106	C0003564	Aphonia
107	C0003578	Apnoea
