position	identifier	name
0	GO:0000002	mitochondrial genome maintenance
1	GO:0000012	single strand break repair
2	GO:0000018	regulation of DNA recombination
3	GO:0000019	regulation of mitotic recombination
4	GO:0000022	mitotic spindle elongation
5	GO:0000023	maltose metabolic process
6	GO:0000027	ribosomal large subunit assembly
7	GO:0000028	ribosomal small subunit assembly
8	GO:0000032	cell wall mannoprotein biosynthetic process
9	GO:0000038	very long-chain fatty acid metabolic process
10	GO:0000041	transition metal ion transport
11	GO:0000042	protein targeting to Golgi
12	GO:0000045	autophagosome assembly
13	GO:0000050	urea cycle
14	GO:0000052	citrulline metabolic process
15	GO:0000054	ribosomal subunit export from nucleus
16	GO:0000055	ribosomal large subunit export from nucleus
17	GO:0000056	ribosomal small subunit export from nucleus
18	GO:0000059	protein import into nucleus, docking
19	GO:0000060	protein import into nucleus, translocation
20	GO:0000070	mitotic sister chromatid segregation
21	GO:0000075	cell cycle checkpoint
22	GO:0000076	DNA replication checkpoint
23	GO:0000077	DNA damage checkpoint
24	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
25	GO:0000082	G1/S transition of mitotic cell cycle
26	GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle
27	GO:0000086	G2/M transition of mitotic cell cycle
28	GO:0000096	sulfur amino acid metabolic process
29	GO:0000097	sulfur amino acid biosynthetic process
30	GO:0000098	sulfur amino acid catabolic process
31	GO:0000101	sulfur amino acid transport
32	GO:0000103	sulfate assimilation
33	GO:0000105	histidine biosynthetic process
34	GO:0000122	negative regulation of transcription from RNA polymerase II promoter
35	GO:0000132	establishment of mitotic spindle orientation
36	GO:0000154	rRNA modification
37	GO:0000160	phosphorelay signal transduction system
38	GO:0000165	MAPK cascade
39	GO:0000183	chromatin silencing at rDNA
40	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
41	GO:0000185	activation of MAPKKK activity
42	GO:0000186	activation of MAPKK activity
43	GO:0000187	activation of MAPK activity
44	GO:0000188	inactivation of MAPK activity
45	GO:0000189	MAPK import into nucleus
46	GO:0000209	protein polyubiquitination
47	GO:0000212	meiotic spindle organization
48	GO:0000226	microtubule cytoskeleton organization
49	GO:0000244	spliceosomal tri-snRNP complex assembly
50	GO:0000245	spliceosomal complex assembly
51	GO:0000255	allantoin metabolic process
52	GO:0000266	mitochondrial fission
53	GO:0000270	peptidoglycan metabolic process
54	GO:0000271	polysaccharide biosynthetic process
55	GO:0000272	polysaccharide catabolic process
56	GO:0000278	mitotic cell cycle
57	GO:0000280	nuclear division
58	GO:0000281	mitotic cytokinesis
59	GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
60	GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening
61	GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA
62	GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic
63	GO:0000294	nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay
64	GO:0000301	retrograde transport, vesicle recycling within Golgi
65	GO:0000302	response to reactive oxygen species
66	GO:0000303	response to superoxide
67	GO:0000305	response to oxygen radical
68	GO:0000320	re-entry into mitotic cell cycle
69	GO:0000338	protein deneddylation
70	GO:0000350	generation of catalytic spliceosome for second transesterification step
71	GO:0000354	cis assembly of pre-catalytic spliceosome
72	GO:0000375	RNA splicing, via transesterification reactions
73	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
74	GO:0000379	tRNA-type intron splice site recognition and cleavage
75	GO:0000380	alternative mRNA splicing, via spliceosome
76	GO:0000381	regulation of alternative mRNA splicing, via spliceosome
77	GO:0000387	spliceosomal snRNP assembly
78	GO:0000389	mRNA 3'-splice site recognition
79	GO:0000393	spliceosomal conformational changes to generate catalytic conformation
80	GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation
81	GO:0000395	mRNA 5'-splice site recognition
82	GO:0000398	mRNA splicing, via spliceosome
83	GO:0000413	protein peptidyl-prolyl isomerization
84	GO:0000414	regulation of histone H3-K36 methylation
85	GO:0000422	mitophagy
86	GO:0000423	macromitophagy
87	GO:0000429	carbon catabolite regulation of transcription from RNA polymerase II promoter
88	GO:0000430	regulation of transcription from RNA polymerase II promoter by glucose
89	GO:0000432	positive regulation of transcription from RNA polymerase II promoter by glucose
90	GO:0000436	carbon catabolite activation of transcription from RNA polymerase II promoter
91	GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
92	GO:0000448	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
93	GO:0000451	rRNA 2'-O-methylation
94	GO:0000453	enzyme-directed rRNA 2'-O-methylation
95	GO:0000459	exonucleolytic trimming involved in rRNA processing
96	GO:0000460	maturation of 5.8S rRNA
97	GO:0000461	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
98	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
99	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
100	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
101	GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
102	GO:0000469	cleavage involved in rRNA processing
103	GO:0000470	maturation of LSU-rRNA
104	GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
105	GO:0000478	endonucleolytic cleavage involved in rRNA processing
106	GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
107	GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
108	GO:0000491	small nucleolar ribonucleoprotein complex assembly
109	GO:0000492	box C/D snoRNP assembly
110	GO:0000578	embryonic axis specification
111	GO:0000707	meiotic DNA recombinase assembly
112	GO:0000711	meiotic DNA repair synthesis
113	GO:0000712	resolution of meiotic recombination intermediates
114	GO:0000715	nucleotide-excision repair, DNA damage recognition
115	GO:0000720	pyrimidine dimer repair by nucleotide-excision repair
116	GO:0000722	telomere maintenance via recombination
117	GO:0000723	telomere maintenance
118	GO:0000724	double-strand break repair via homologous recombination
119	GO:0000725	recombinational repair
120	GO:0000726	non-recombinational repair
121	GO:0000727	double-strand break repair via break-induced replication
122	GO:0000729	DNA double-strand break processing
123	GO:0000730	DNA recombinase assembly
124	GO:0000731	DNA synthesis involved in DNA repair
125	GO:0000733	DNA strand renaturation
126	GO:0000737	DNA catabolic process, endonucleolytic
127	GO:0000738	DNA catabolic process, exonucleolytic
128	GO:0000768	syncytium formation by plasma membrane fusion
129	GO:0000819	sister chromatid segregation
130	GO:0000820	regulation of glutamine family amino acid metabolic process
131	GO:0000821	regulation of arginine metabolic process
132	GO:0000904	cell morphogenesis involved in differentiation
133	GO:0000910	cytokinesis
134	GO:0000917	barrier septum assembly
135	GO:0000920	cell separation after cytokinesis
136	GO:0000956	nuclear-transcribed mRNA catabolic process
137	GO:0000957	mitochondrial RNA catabolic process
138	GO:0000958	mitochondrial mRNA catabolic process
139	GO:0000959	mitochondrial RNA metabolic process
140	GO:0000960	regulation of mitochondrial RNA catabolic process
141	GO:0000961	negative regulation of mitochondrial RNA catabolic process
142	GO:0000962	positive regulation of mitochondrial RNA catabolic process
143	GO:0000963	mitochondrial RNA processing
