compound	disease	target	associated_interactors	interactors	TP	TP + FP	precision	associated_target	upregulated_target	downregulated_target
Abiraterone	prostate cancer	ALB	KLK3	ACADVL, ADRA1B, AGA, AHSG, AMBP, AMPD3, AP1M1, AP4E1, APOA1, APOA2, APOA4, APOC1, APOC2, APOC3, APOE, APP, ATM, BBC3, C4A, CABLES1, CACNA1I, CAMTA1, CDC45, CDCP1, CEBPB, CEP44, CFB, CFD, CFH, CHKB, CLCA2, CNOT1, CRB1, CROT, CRYAA, CST3, CTAGE5, CTSL, CUBN, DCC, DCD, DDB1, DENR, DERL1, DGKG, DICER1, DMD, DMWD, EEF2K, EIF4A3, ETF1, EXOC6, F2, F7, FAM71E2, FBXO6, FCGRT, FGA, FN1, GABBR1, GCN1L1, GFAP, GJC2, GRAP2, GRB2, GSN, HNF1A, HP, HPX, IGDCC4, IMMT, IQCB1, ITGA2, ITGB5, ITIH1, JARID2, KCNMA1, KIAA0101, KIAA0232, KIAA1551, KLK3, KRT1, KRT10, KRT13, KRT14, KRT16, KRT5, KRT6A, KRT6B, KRT9, LAT, LDB3, LRP2, LUC7L2, METAP2, MYL4, MYLK3, NCOA3, NFKB1, NLRC4, NPHS1, NR5A2, OBSL1, OR2T6, OR3A2, OR8D2, ORM1, PA2G4, PALB2, PCDH1, PCED1B, PDE4B, PDZRN4, PEG3, PF4V1, PFDN1, PHC3, PLA2G4F, PLAG1, PLCB1, PON1, PPBP, PRB3, PRSS1, PRSS3, QTRTD1, RANBP2, RANBP3, RBP4, RLF, RYR2, SACS, SCAF1, SCN5A, SERPING1, SETX, SGOL2, SH3BP5, SLA2, SLC1A5, SLC25A13, SLC9A8, SLX4, SORBS3, SPAST, SPATA31A7, SRGN, ST13, TF, THRAP3, TIAM1, TK1, TLN2, TRAPPC11, TSC22D1, TTN, TTPAL, TTR, UBC, UBD, UIMC1, YWHAE, YWHAG, ZNF232, ZNF292	1	165	0.00606	0	0	0
Abiraterone	prostate cancer	ABCC1		AZGP1, NPM1, TRAF3	0	3	0	0	0	0
Abiraterone	prostate cancer	SULT2A1		PRDX4, STAT3, STK3, SULT1B1, TMX1, UBD	0	6	0	1	0	0
Abiraterone	prostate cancer	CYP3A4		AMFR, CYB5A, GK, PGRMC1, POR, STUB1, UGT2B7	0	7	0	1	0	0
Abiraterone	prostate cancer	ORM1		ALB, BLVRB, CCR5, GLUD1, GSDMB, PIK3R3, SERPINE1, TMEM37	0	8	0	0	0	0
Abiraterone	prostate cancer	CYP17A1		ATP5E, BARX1, CDO1, CYB5A, HSP90AB1, POR, PPP2R4, RPAIN, TIGD7	0	9	0	1	0	0
Abiraterone	prostate cancer	CYP2C8		A2M, APOE, BLMH, DNAJB1, ECSIT, EXOC6, IFIT3, LONP1, MAST1, PGRMC1, RNF32	0	11	0	0	0	0
Acetylsalicylic acid	rheumatoid arthritis	IKBKB	C1QBP, NFKBIE, PRKCQ, REL, TNFAIP3, TRAF1	ACTG1, ACVR1, AKT1, ARRB1, ARRB2, AURKA, BCL10, BID, BIRC3, BRAP, BTRC, C1QBP, CALM1, CALM2, CALM3, CASP8, CCAR2, CD3EAP, CDC37, CDKN2A, CFLAR, CHUK, CLTC, CNTN2, COPS3, COPS4, COPS5, COPS7A, CREBBP, CSF2RA, CSF2RB, CTNNAL1, CTNNB1, CUEDC2, CUL1, CXCL8, DNAJA3, DOK1, EGLN3, EIF2AK2, EIF2AK3, EPRS, FAF1, FANCA, FBL, FBXW11, FBXW7, FLNA, FLT3, FOXO3, HNRNPU, HOMER3, HSP90AA1, HSP90AB1, HSPA1A, HSPA1B, HSPA1L, HSPA5, HSPA8, HSPA9, HSPD1, HTT, IKBIP, IKBKAP, IKBKE, IKBKG, IQGAP1, IQGAP2, IRAK1, IRS1, IRS2, JUN, KEAP1, KPNA2, LRPPRC, LYZ, MAP3K1, MAP3K11, MAP3K13, MAP3K14, MAP3K3, MAP3K7, MARK3, MAVS, MCC, MEOX2, MLST8, MRPL4, MTIF2, MYD88, MYH10, NAA20, NCOA2, NCOA3, NEDD4L, NFKB1, NFKB2, NFKBIA, NFKBIB, NFKBIE, NLRC5, NLRP2, NLRX1, NOTCH1, NR2C2, PARP1, PDCD2, PEBP1, PELI1, PLK1, POLR1A, POLR1B, POLR1D, POLR1E, POLR2H, POLR2L, PPM1B, PPP1CA, PPP2R3C, PRDX3, PRKCA, PRKCB, PRKCD, PRKCE, PRKCI, PRKCQ, PRKCZ, PRKDC, RASAL2, REL, RELA, RIPK1, RPL30, RPL4, RPL6, RPL8, RPS11, RPS13, RPS3, SEC16A, SKP1, SMARCC1, SRC, STAP2, TAB1, TAB2, TANK, TBK1, TFAP2C, TGFBR1, TIMM50, TNFAIP3, TNFRSF1A, TNIP2, TP53, TP73, TPX2, TRAF1, TRAF2, TRAF3IP2, TRAPPC9, TRIM21, TRIM27, TRIM40, TRPC4AP, TSC1, TUBA3C, TUBA3D, TUBB, TUBB2B, TUBB4A, UBB, UBC, USP9X, YWHAB, ZC3H12A	6	176	0.0341	0	0	0
Acetylsalicylic acid	rheumatoid arthritis	NFKBIA	NFKBIE, REL	ACTG1, ANXA1, ARRB1, ARRB2, ATF4, AURKA, BARD1, BTRC, CALM1, CALM2, CALM3, CAPN1, CAPN3, CASP3, CD7, CDC34, CHUK, CISH, CLTC, COMMD1, COPB2, COPS2, CSNK2A1, CSNK2B, CUL1, DDX3X, DNAJA3, DYNLL1, EIF2AK2, ELP3, EP300, FBXW11, G3BP2, GLG1, GTF2I, HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HIST3H3, HNRNPA1, HNRNPAB, HNRNPU, HOXA9, HOXB7, HSPA1A, HSPA1L, HSPA4, HSPA5, HSPA8, HSPA9, HSPB1, IKBKAP, IKBKB, IKBKE, IKBKG, IKZF4, IRAK1, ITPK1, JAK2, KPNA3, LCK, LYL1, MAP3K1, MAP3K14, MAP3K2, MAP3K3, MAP3K8, MCM3, MCM5, MCM7, MED19, MEFV, NCOR1, NCOR2, NEDD9, NFKB1, NFKB2, NFKBIB, NFKBIE, NKIRAS1, NKIRAS2, PCBD1, PIK3R1, PIR, POLR2C, POLRMT, POM121, PRKCA, PRKCI, PRKCZ, PSMA2, PSMA4, PTPN1, PTPN13, RBCK1, RBX1, REL, RELA, RELB, RNF31, ROCK2, RPL23, RPL30, RPL6, RPS13, RPS27A, RPS27L, RPS3, RPS6KA1, RPS6KA3, RWDD3, SHARPIN, SKP1, SLC25A4, SLC25A5, SOCS3, SPAG9, SPG11, SPRR3, SRC, ST7, STAT1, SUMO1, SUMO2, SUMO3, SUMO4, SYNE3, TBK1, TGM2, TIMM50, TNFSF11, TNIP1, TP53, TUBA1A, TUBA1B, TUBA3C, TUBA3D, TUBB, TUBB4A, UBA52, UBB, UBC, UBE2D1, UBE2D2, UBE2D3, UBE2E3, UBE2L3, VCP, YWHAH, ZNF212	2	152	0.0132	0	0	0
Acetylsalicylic acid	rheumatoid arthritis	HSPA5	NFKBIE, REL	A2M, ADRM1, AGO4, APC, APOB, ARRB1, ARRB2, BCAR1, BRAF, CAND1, CASP7, CASP8, CAV1, CDK2, CFTR, COPS5, COPS6, CPT1A, CUL1, CUL2, CUL3, CUL4A, CUL5, DCUN1D1, DDX24, DNAJB11, DNAJB9, DNAJC1, DNAJC10, DPH1, DPYSL5, EGFR, EIF2AK3, ERN1, ERP29, ESR1, F8, FCHSD2, GRB2, GRIA1, HDAC5, HDAC6, HFE, HLA-C, HSP90B1, HSPA1A, HSPA2, HSPA8, HSPBP1, HSPD1, HTR3A, HYOU1, ID2, IKBKB, IKBKG, IQCB1, KIAA0101, KRT14, KRT18, KRT8, LCT, LDLR, MAP3K1, MAP3K14, MAP3K3, MAP3K7, MAP3K8, MAPK13, MEPCE, METTL21A, MTNR1A, MTNR1B, NDRG1, NEDD8, NFKB1, NFKB2, NFKBIA, NFKBIB, NFKBIE, NOS2, NUAK1, PAWR, PCSK7, PDIA4, PPP2R2B, PRKAA1, PRNP, PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMC1, PSMC2, PSMC3, PSMC4, PSMC5, PSMC6, PSMD1, PSMD11, PSMD12, PSMD13, PSMD14, PSMD2, PSMD3, PSMD4, PSMD6, PSMD7, PSMD8, PSME3, PSME4, PTEN, RAF1, REL, RELA, RELB, RIPK1, RIPK3, RPN1, SEC61A1, SH3BP4, SIL1, SIRT1, SIRT3, SMURF1, SREBF2, STMN1, SUMO2, SUMO4, TAB1, TAB2, TANK, TBK1, TCERG1, TG, TMEM132A, TMEM62, TMEM67, TNFRSF1A, TNFRSF1B, TP53, TRA, TRAF2, TRAF6, TSHR, TUBA4A, TUBB1, TUBB4A, UBC, UBL4A, UBQLN4, UCHL5, VCP, VWF, YWHAB, YWHAZ	2	165	0.0121	0	0	0
