metapath	length	n_pairs	pc_density	pc_mean	pc_max	dwpc-0.5_raw_mean
AlD	1	55074	0.0654029	0.0654029	1	0.00374636
AdG	1	8419890	0.0121427	0.0121427	1	7.81269e-05
AeG	1	8419890	0.0625195	0.0625195	1	0.000140591
AuG	1	8419890	0.0116211	0.0116211	1	8.33664e-05
BPpG	1	238375045	0.00234716	0.00234716	1	3.1467e-05
CCpG	1	29134495	0.00252505	0.00252505	1	8.1797e-05
CrC	1	2408704	0.00538547	0.00538547	1	0.000499896
CpD	1	212624	0.00183422	0.00183422	1	0.00041723
CtD	1	212624	0.00355087	0.00355087	1	0.000632863
CbG	1	32506640	0.000355958	0.000355958	1	2.92957e-05
CdG	1	32506640	0.00064916	0.00064916	1	2.15082e-05
CuG	1	32506640	0.00057699	0.00057699	1	2.21532e-05
CiPC	1	535440	0.00192178	0.00192178	1	0.000798467
CcSE	1	8899168	0.0156131	0.0156131	1	0.000154646
DrD	1	18769	0.0578614	0.0578614	1	0.00640987
DaG	1	2869465	0.00439908	0.00439908	1	0.000217987
DdG	1	2869465	0.00265659	0.00265659	1	0.000157388
DuG	1	2869465	0.00269423	0.00269423	1	0.000154992
DpS	1	60006	0.0559444	0.0559444	1	0.00328587
GcG	1	438693025	0.000281244	0.000281244	1	2.07346e-05
GiG	1	438693025	0.00067092	0.00067092	1	1.81819e-05
G<rG	1	438693025	0.000605599	0.000605599	1	7.28178e-06
GpMF	1	60405380	0.00160949	0.00160949	1	6.35623e-05
GpPW	1	38161790	0.0022109	0.0022109	1	7.41061e-05
AlDlA	2	161604	0.422304	0.899037	23	0.00219725
AlDpC	2	623904	0.0169625	0.0200063	7	0.000239824
AlDtC	2	623904	0.0327246	0.041064	11	0.000367664
AlDrD	2	55074	0.313124	0.648128	19	0.00346951
AlDaG	2	8419890	0.0373854	0.047703	24	0.000123385
AlDdG	2	8419890	0.0211585	0.0220215	6	8.00044e-05
AlDuG	2	8419890	0.0213612	0.0222735	7	7.90373e-05
AlDpS	2	176076	0.346316	0.7319	24	0.00191972
AdGdA	2	161604	0.00779684	6.11244	3436	0.000184694
AdGeA	2	161604	0.0442563	21.8539	5965	0.00028795
AdGuA	2	161604	0.00779684	4.55686	2514	0.000192615
AdGpBP	2	4575162	0.0640666	0.784212	485	6.32151e-05
AdGpCC	2	559182	0.06088	0.866108	421	0.000166148
AdGbC	2	623904	0.0445565	0.11441	46	6.09237e-05
AdGdC	2	623904	0.0255007	0.202515	153	4.56527e-05
AdGuC	2	623904	0.0248708	0.216344	146	5.12957e-05
AdGaD	2	55074	0.0783673	1.53428	222	0.000455401
AdGdD	2	55074	0.0258561	0.938773	191	0.000328973
AdGuD	2	55074	0.026419	0.909776	131	0.000319121
AdGcG	2	8419890	0.0236096	0.078854	203	3.68286e-05
AdGiG	2	8419890	0.040347	0.219662	3509	3.74494e-05
AdG<rG	2	8419890	0.0179387	0.219131	172	1.62738e-05
AdGr>G	2	8419890	0.0210936	0.203748	714	1.55159e-05
AdGpMF	2	1159368	0.0563548	0.517673	398	0.000125971
AdGpPW	2	732444	0.0745258	0.698853	676	0.000150022
AeGeA	2	161604	0.211591	133.031	13268	0.000614624
AeGuA	2	161604	0.042895	22.2524	4584	0.000308203
AeGpBP	2	4575162	0.211823	4.33357	924	0.00012602
AeGpCC	2	559182	0.197265	4.67175	913	0.000321669
AeGbC	2	623904	0.1362	0.459802	120	0.000137817
AeGdC	2	623904	0.087124	1.43605	249	9.34769e-05
AeGuC	2	623904	0.0821473	1.3105	247	9.68671e-05
AeGaD	2	55074	0.289392	8.6492	484	0.00102705
AeGdD	2	55074	0.0855576	4.94302	243	0.000582374
AeGuD	2	55074	0.0864836	4.9324	240	0.000576616
AeGcG	2	8419890	0.0749085	0.4093	415	6.60778e-05
AeGiG	2	8419890	0.13428	1.45923	7826	7.43034e-05
AeG<rG	2	8419890	0.0529721	1.39684	359	3.18692e-05
AeGr>G	2	8419890	0.0693483	1.29362	1574	3.11669e-05
AeGpMF	2	1159368	0.178163	2.67827	830	0.000240308
AeGpPW	2	732444	0.223632	4.30175	1366	0.000308084
AuGuA	2	161604	0.00779684	4.45114	2098	0.000183109
AuGpBP	2	4575162	0.0633357	0.756837	457	6.73076e-05
AuGpCC	2	559182	0.0605116	0.807192	439	0.000176741
AuGbC	2	623904	0.0384082	0.0856045	58	5.91369e-05
AuGdC	2	623904	0.0268663	0.214634	139	5.14522e-05
AuGuC	2	623904	0.0249173	0.224977	137	5.59975e-05
AuGaD	2	55074	0.0784036	1.48644	243	0.000482387
AuGdD	2	55074	0.0262011	0.896249	196	0.000350703
AuGuD	2	55074	0.026655	0.93545	141	0.000351517
AuGcG	2	8419890	0.0234454	0.0765914	147	3.93202e-05
AuGiG	2	8419890	0.0405725	0.228318	2638	4.01616e-05
AuG<rG	2	8419890	0.01826	0.222429	137	1.79427e-05
AuGr>G	2	8419890	0.0224932	0.216016	570	1.73949e-05
AuGpMF	2	1159368	0.0542856	0.486297	345	0.000132927
AuGpPW	2	732444	0.0733176	0.691295	605	0.000159907
BPpGpBP	2	129527161	0.11103	0.465129	953	4.63898e-05
BPpGpCC	2	15830971	0.0734163	0.284452	498	9.29931e-05
BPpGbC	2	17663312	0.0252848	0.0428288	122	4.36667e-05
BPpGdC	2	17663312	0.0263858	0.0586225	120	2.26965e-05
BPpGuC	2	17663312	0.0283427	0.0623255	55	2.53201e-05
BPpGaD	2	1559197	0.210313	0.812072	167	0.000299067
BPpGdD	2	1559197	0.0652541	0.178763	57	0.000132118
BPpGuD	2	1559197	0.0690638	0.205418	69	0.000134323
BPpGcG	2	238375045	0.0107985	0.0146493	48	1.43719e-05
BPpGiG	2	238375045	0.046498	0.097247	706	2.0103e-05
BPpG<rG	2	238375045	0.0291923	0.0605318	91	7.63192e-06
BPpGr>G	2	238375045	0.0289457	0.0742263	284	8.97725e-06
BPpGpMF	2	32822804	0.0518717	0.171228	705	7.5593e-05
BPpGpPW	2	20736182	0.0976658	0.391312	590	9.85979e-05
CCpGpCC	2	1934881	0.0723176	0.471811	939	0.000335705
CCpGbC	2	2158832	0.0178143	0.0353066	42	7.33637e-05
CCpGdC	2	2158832	0.0266074	0.0617644	89	6.45053e-05
CCpGuC	2	2158832	0.0215677	0.0471991	65	5.67384e-05
CCpGaD	2	190567	0.137553	0.485514	121	0.000597393
CCpGdD	2	190567	0.0641769	0.191077	37	0.000347199
CCpGuD	2	190567	0.0641244	0.19846	51	0.000352188
CCpGcG	2	29134495	0.0118948	0.0165061	39	3.79937e-05
CCpGiG	2	29134495	0.0379397	0.084468	661	5.4535e-05
CCpG<rG	2	29134495	0.0273587	0.0575639	63	2.00698e-05
CCpGr>G	2	29134495	0.0229419	0.0547018	150	2.01526e-05
CCpGpMF	2	4011644	0.0417051	0.158985	337	0.000166575
CCpGpPW	2	2534402	0.0693927	0.262733	275	0.000234694
CrCrC	2	2408704	0.0213908	0.0996777	44	0.000381749
CrCpD	2	212624	0.0142834	0.023083	12	0.000373409
CrCtD	2	212624	0.0137661	0.0312947	13	0.000472508
CrCbG	2	32506640	0.00136052	0.00313133	34	2.205e-05
CrCdG	2	32506640	0.002923	0.00417306	21	1.63158e-05
