archive	filename	file_size	compress_type	compress_size	CRC
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/AdG.sparse.npz	92855	store	92855	3268170140
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/AeG.sparse.npz	256523	store	256523	217401315
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/AlD.sparse.npz	5309	store	5309	1351936014
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/AuG.sparse.npz	96130	store	96130	3562184066
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/BPpG.sparse.npz	885808	store	885808	1223786775
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/CCpG.sparse.npz	121333	store	121333	2284194018
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/CbG.sparse.npz	20028	store	20028	1388454810
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/CcSE.sparse.npz	176944	store	176944	3892688795
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/CdG.sparse.npz	32262	store	32262	2591475840
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/CiPC.sparse.npz	3819	store	3819	3513416819
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/CpD.sparse.npz	1745	store	1745	1928974797
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/CrC.sparse.npz	18019	store	18019	1601054823
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/CtD.sparse.npz	2360	store	2360	1657909418
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/CuG.sparse.npz	30051	store	30051	3460002165
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/DaG.sparse.npz	24902	store	24902	609278219
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/DdG.sparse.npz	19235	store	19235	1323810953
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/DpS.sparse.npz	5241	store	5241	98861821
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/DrD.sparse.npz	2422	store	2422	3798528262
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/DuG.sparse.npz	19111	store	19111	1065995702
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/G<rG.sparse.npz	495407	store	495407	700484141
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/GcG.sparse.npz	270649	store	270649	977424706
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/GiG.sparse.npz	541528	store	541528	2586396087
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/GpMF.sparse.npz	151598	store	151598	3060654043
dwpcs_length-1_damping-0.0.zip	path-counts/dwpc-0.0/GpPW.sparse.npz	121220	store	121220	481789782
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/AdG.sparse.npz	243237	store	243237	2168858522
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/AeG.sparse.npz	1822554	store	1822554	331588610
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/AlD.sparse.npz	14017	store	14017	2953635539
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/AuG.sparse.npz	228894	store	228894	46449735
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/BPpG.sparse.npz	3173798	store	3173798	3260482140
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/CCpG.sparse.npz	269192	store	269192	659181379
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/CbG.sparse.npz	46695	store	46695	3174927453
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/CcSE.sparse.npz	881508	store	881508	1343297371
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/CdG.sparse.npz	82925	store	82925	3431862491
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/CiPC.sparse.npz	5352	store	5352	350524012
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/CpD.sparse.npz	2509	store	2509	219732630
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/CrC.sparse.npz	41614	store	41614	1742725935
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/CtD.sparse.npz	4037	store	4037	3996628120
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/CuG.sparse.npz	75035	store	75035	953262481
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/DaG.sparse.npz	54517	store	54517	697622566
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/DdG.sparse.npz	23691	store	23691	3884459627
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/DpS.sparse.npz	14298	store	14298	519439651
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/DrD.sparse.npz	5060	store	5060	4276762562
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/DuG.sparse.npz	23529	store	23529	3671277873
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/G<rG.sparse.npz	1595963	store	1595963	4070163750
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/GcG.sparse.npz	688326	store	688326	2154605879
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/GiG.sparse.npz	1679655	store	1679655	1283758646
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/GpMF.sparse.npz	336425	store	336425	3835153878
dwpcs_length-1_damping-0.5.zip	path-counts/dwpc-0.5/GpPW.sparse.npz	334839	store	334839	752423399
dwpcs_length-2_damping-0.0.zip	path-counts/dwpc-0.0/AdG<rG.sparse.npz	267882	store	267882	2974255773
