archive	filename	file_size	compress_type	compress_size	CRC
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AdG<rG.tsv.gz	198671	store	198671	3549449745
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AdGaD.tsv.gz	75118	store	75118	3390183580
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AdGbC.tsv.gz	43917	store	43917	2916920308
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AdGcG.tsv.gz	161119	store	161119	2430100837
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AdGdA.tsv.gz	22611	store	22611	3395312154
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AdGdC.tsv.gz	74827	store	74827	2501235495
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AdGdD.tsv.gz	14900	store	14900	4042381848
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AdGeA.tsv.gz	121795	store	121795	713998723
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AdGiG.tsv.gz	246457	store	246457	1189905080
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AdGpBP.tsv.gz	492643	store	492643	323652662
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AdGpCC.tsv.gz	190568	store	190568	1451109317
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AdGpMF.tsv.gz	206002	store	206002	2998811174
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AdGpPW.tsv.gz	172469	store	172469	3210116991
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AdGr>G.tsv.gz	339445	store	339445	3973220093
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AdGuA.tsv.gz	28724	store	28724	25221216
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AdGuC.tsv.gz	77426	store	77426	12617369
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AdGuD.tsv.gz	14974	store	14974	3497790625
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AeG<rG.tsv.gz	838189	store	838189	4195427283
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AeGaD.tsv.gz	309460	store	309460	3874854456
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AeGbC.tsv.gz	178345	store	178345	3726079326
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AeGcG.tsv.gz	677128	store	677128	3310583536
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AeGdC.tsv.gz	307159	store	307159	3143916093
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AeGdD.tsv.gz	58685	store	58685	1251758522
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AeGeA.tsv.gz	493757	store	493757	4258470143
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AeGiG.tsv.gz	1041524	store	1041524	3677772988
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AeGpBP.tsv.gz	2079636	store	2079636	511873520
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AeGpCC.tsv.gz	801073	store	801073	3914953916
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AeGpMF.tsv.gz	867775	store	867775	3985336095
degree-grouped-perms_length-2_damping-0.5-0000.zip	adjusted-path-counts/dwpc-0.5/degree-grouped-permutations/AeGpPW.tsv.gz	722578	store	722578	3962843472
