archive	filename	file_size	compress_type	compress_size	CRC
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AdG<rG.sparse.npz	267882	store	267882	2974255773
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AdGaD.sparse.npz	9495	store	9495	1573510944
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AdGbC.sparse.npz	32987	store	32987	3634032227
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AdGcG.sparse.npz	273614	store	273614	3055686995
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AdGdA.sparse.npz	4494	store	4494	2533498227
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AdGdC.sparse.npz	25518	store	25518	3650449635
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AdGdD.sparse.npz	4388	store	4388	3679155556
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AdGeA.sparse.npz	16828	store	16828	1819289734
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AdGiG.sparse.npz	491767	store	491767	4223424180
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AdGpBP.sparse.npz	451362	store	451362	3842159985
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AdGpCC.sparse.npz	56858	store	56858	3314235991
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AdGpMF.sparse.npz	98555	store	98555	2045183832
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AdGpPW.sparse.npz	90014	store	90014	441777337
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AdGr>G.sparse.npz	285172	store	285172	1556560716
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AdGuA.sparse.npz	4781	store	4781	889555304
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AdGuC.sparse.npz	24289	store	24289	1399162190
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AdGuD.sparse.npz	4445	store	4445	1193683586
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AeG<rG.sparse.npz	750515	store	750515	3898090577
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AeGaD.sparse.npz	32898	store	32898	3008958354
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AeGbC.sparse.npz	98924	store	98924	929127720
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AeGcG.sparse.npz	817528	store	817528	117233992
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AeGdC.sparse.npz	72049	store	72049	1287757473
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AeGdD.sparse.npz	11885	store	11885	2270408365
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AeGeA.sparse.npz	72685	store	72685	1315435890
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AeGiG.sparse.npz	1437903	store	1437903	1085642684
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AeGpBP.sparse.npz	1474095	store	1474095	1510558459
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AeGpCC.sparse.npz	174344	store	174344	1383042917
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AeGpMF.sparse.npz	296883	store	296883	544288248
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AeGpPW.sparse.npz	268641	store	268641	544809152
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AeGr>G.sparse.npz	867402	store	867402	2782467954
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AeGuA.sparse.npz	18641	store	18641	3298156609
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AeGuC.sparse.npz	70424	store	70424	813138830
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AeGuD.sparse.npz	12045	store	12045	548314010
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AlDaG.sparse.npz	394087	store	394087	1792024372
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AlDdG.sparse.npz	148456	store	148456	210149412
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AlDlA.sparse.npz	73630	store	73630	2083980957
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AlDpC.sparse.npz	6915	store	6915	701249796
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AlDpS.sparse.npz	67775	store	67775	1846947256
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AlDrD.sparse.npz	18646	store	18646	1385330064
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AlDtC.sparse.npz	12886	store	12886	1345513712
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AlDuG.sparse.npz	149838	store	149838	1198059154
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AuG<rG.sparse.npz	264441	store	264441	787264688
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AuGaD.sparse.npz	9717	store	9717	1198571612
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AuGbC.sparse.npz	30151	store	30151	1644016783
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AuGcG.sparse.npz	281454	store	281454	3843345429
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AuGdC.sparse.npz	26154	store	26154	532266974
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AuGdD.sparse.npz	4469	store	4469	1050447396
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AuGiG.sparse.npz	496767	store	496767	3737170812
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AuGpBP.sparse.npz	454621	store	454621	4748805
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AuGpCC.sparse.npz	57006	store	57006	997066980
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AuGpMF.sparse.npz	97570	store	97570	2052283696
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AuGpPW.sparse.npz	90221	store	90221	3205562848
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AuGr>G.sparse.npz	298879	store	298879	1591747729
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AuGuA.sparse.npz	4748	store	4748	324537073
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AuGuC.sparse.npz	24545	store	24545	1072672734
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/AuGuD.sparse.npz	4535	store	4535	2469020700
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/BPpG<rG.sparse.npz	12539484	store	12539484	1370945693
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/BPpGaD.sparse.npz	500034	store	500034	1932816404
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/BPpGbC.sparse.npz	488814	store	488814	609414311
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/BPpGcG.sparse.npz	4317418	store	4317418	703216987
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/BPpGdC.sparse.npz	581965	store	581965	3184093551
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/BPpGdD.sparse.npz	155377	store	155377	1778687691
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/BPpGiG.sparse.npz	22642496	store	22642496	2729922458
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/BPpGpBP.sparse.npz	28984386	store	28984386	1144610602
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/BPpGpCC.sparse.npz	1789535	store	1789535	2804115902
dwpcs_length-2_damping-0.0-0000.zip	path-counts/dwpc-0.0/BPpGpMF.sparse.npz	2653288	store	2653288	3478620964
