1;2.5;G;CbGaD;Compound::DB00635;Gene::213;Disease::DOID:2841
1;2.5;G;CbGaD;Compound::DB00635;Gene::2908;Disease::DOID:2841
1;2.5;GC;CbGbCpD;Compound::DB00635;Gene::1576;Compound::DB00668;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1557;Compound::DB01274;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1557;Compound::DB01234;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1557;Compound::DB00455;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1557;Compound::DB00549;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1557;Compound::DB00983;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::5243;Compound::DB01234;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::5243;Compound::DB00455;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::5243;Compound::DB05039;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::5243;Compound::DB08906;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::5243;Compound::DB00741;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::5243;Compound::DB00860;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::5243;Compound::DB00443;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::5243;Compound::DB00959;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB01234;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB00588;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB00471;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB01410;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB00455;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB00938;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB05039;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB08906;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB01001;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB00741;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB00277;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB00860;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB01223;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB01409;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB00549;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB00180;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB00443;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB00332;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB00620;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB00959;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB00744;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::1576;Compound::DB01222;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::6579;Compound::DB01234;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::6579;Compound::DB00741;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::6579;Compound::DB00860;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::2908;Compound::DB01234;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::2908;Compound::DB00588;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::2908;Compound::DB00394;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::2908;Compound::DB01410;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::2908;Compound::DB00764;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::2908;Compound::DB08906;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::2908;Compound::DB00741;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::2908;Compound::DB00860;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::2908;Compound::DB00180;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::2908;Compound::DB00443;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::2908;Compound::DB00620;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::2908;Compound::DB00959;Disease::DOID:2841
1;2.5;GC;CbGbCtD;Compound::DB00635;Gene::2908;Compound::DB01222;Disease::DOID:2841
1;2.5;GC;CdGdCtD;Compound::DB00635;Gene::8870;Compound::DB01234;Disease::DOID:2841
1;2.5;GC;CdGdCtD;Compound::DB00635;Gene::8870;Compound::DB00588;Disease::DOID:2841
1;2.5;GC;CdGdCtD;Compound::DB00635;Gene::8870;Compound::DB00394;Disease::DOID:2841
1;2.5;GC;CdGdCtD;Compound::DB00635;Gene::8870;Compound::DB00741;Disease::DOID:2841
1;2.5;GC;CdGdCtD;Compound::DB00635;Gene::8870;Compound::DB00860;Disease::DOID:2841
1;2.5;GC;CdGdCtD;Compound::DB00635;Gene::8870;Compound::DB00180;Disease::DOID:2841
1;2.5;GC;CdGdCtD;Compound::DB00635;Gene::8870;Compound::DB00443;Disease::DOID:2841
1;2.5;GC;CdGdCtD;Compound::DB00635;Gene::8870;Compound::DB00332;Disease::DOID:2841
1;2.5;GC;CdGdCtD;Compound::DB00635;Gene::8870;Compound::DB00620;Disease::DOID:2841
1;2.5;GC;CdGdCtD;Compound::DB00635;Gene::8870;Compound::DB00959;Disease::DOID:2841
1;2.5;GC;CdGdCtD;Compound::DB00635;Gene::8870;Compound::DB01222;Disease::DOID:2841
1;2.5;GC;CuGuCtD;Compound::DB00635;Gene::23635;Compound::DB00959;Disease::DOID:2841
1;2.5;GC;CuGuCtD;Compound::DB00635;Gene::10557;Compound::DB01234;Disease::DOID:2841
1;2.5;GC;CuGuCtD;Compound::DB00635;Gene::10557;Compound::DB00443;Disease::DOID:2841
1;2.5;GC;CuGuCtD;Compound::DB00635;Gene::9217;Compound::DB01234;Disease::DOID:2841
1;2.5;GC;CuGuCtD;Compound::DB00635;Gene::9217;Compound::DB00443;Disease::DOID:2841
1;2.5;GD;CbGaDrD;Compound::DB00635;Gene::213;Disease::DOID:3083;Disease::DOID:2841
1;2.5;GD;CbGuDrD;Compound::DB00635;Gene::6579;Disease::DOID:3083;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB00240;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB01234;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB01234;Gene::5743;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB01234;Gene::4843;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB01384;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB00547;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB00324;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB00959;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB00288;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB01013;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB00873;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB01380;Gene::2908;Disease::DOID:2841
1;2.5;CG;CrCbGaD;Compound::DB00635;Compound::DB01130;Gene::2908;Disease::DOID:2841
