half_life	drug	disease	circadian_efficacy	G_Fat SQ_amp	G_Fat Visceral_amp	G_Aorta_amp	G_Artery Coronary_amp	G_Artery Tibial_amp	G_Colon_amp	G_Esophagus_amp	G_Heart Atrial_amp	G_Liver_amp	G_Lung_amp	G_Nerve Tibial_amp	G_Pituitary_amp	G_Thyroid_amp	GC_Fat SQ_amp	GC_Fat Visceral_amp	GC_Aorta_amp	GC_Artery Coronary_amp	GC_Artery Tibial_amp	GC_Colon_amp	GC_Esophagus_amp	GC_Heart Atrial_amp	GC_Liver_amp	GC_Lung_amp	GC_Nerve Tibial_amp	GC_Pituitary_amp	GC_Thyroid_amp	GD_Fat SQ_amp	GD_Fat Visceral_amp	GD_Aorta_amp	GD_Artery Coronary_amp	GD_Artery Tibial_amp	GD_Colon_amp	GD_Esophagus_amp	GD_Heart Atrial_amp	GD_Liver_amp	GD_Lung_amp	GD_Nerve Tibial_amp	GD_Pituitary_amp	GD_Thyroid_amp	CG_Fat SQ_amp	CG_Fat Visceral_amp	CG_Aorta_amp	CG_Artery Coronary_amp	CG_Artery Tibial_amp	CG_Colon_amp	CG_Esophagus_amp	CG_Heart Atrial_amp	CG_Liver_amp	CG_Lung_amp	CG_Nerve Tibial_amp	CG_Pituitary_amp	CG_Thyroid_amp	DG_Fat SQ_amp	DG_Fat Visceral_amp	DG_Aorta_amp	DG_Artery Coronary_amp	DG_Artery Tibial_amp	DG_Colon_amp	DG_Esophagus_amp	DG_Heart Atrial_amp	DG_Liver_amp	DG_Lung_amp	DG_Nerve Tibial_amp	DG_Pituitary_amp	DG_Thyroid_amp
2.5000	DB00635	DOID:2841	Y	0.1702	0.3883	0.1900	0.3651	0.1752	0.2072	0.2307	0.3088	0.2165	0.1973	0.2915	0.1708	0.1740	0.4879	1.0025	0.7677	0.7267	0.8670	0.6039	0.7312	0.8695	0.3718	0.2945	0.2915	0.6838	0.2645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6107	1.2407	0.8428	0.9055	1.2129	1.0454	0.9365	1.2699	0.7149	0.9197	0.8178	1.0484	0.7734	0.6107	1.2407	1.2285	1.4109	2.8025	1.0454	0.9365	1.2699	0.7149	1.1211	0.8178	1.0484	2.7498
2.5000	DB00635	DOID:7148	Y	0.2458	0.3883	0.1900	0.3651	0.2595	0.2072	0.2307	0.3088	0.3310	0.1973	0.2915	0.1708	0.2201	0.4879	1.0025	0.7677	0.7267	0.8670	0.6039	0.7312	0.8695	0.3718	0.2945	0.2915	0.6838	0.2645	0.1702	0.3883	0.1900	0.3651	0.1752	0.2072	0.2307	0.3088	0.2165	0.1973	0.2915	0.1708	0.1740	0.9849	1.3158	1.0386	1.8474	1.4303	0.7087	0.6583	1.0130	0.6143	1.2282	0.7729	1.0435	0.8694	1.0149	1.3158	1.0952	1.8474	2.8025	0.8333	1.1033	1.0130	1.1124	1.2282	1.1831	1.1350	2.7498
3.0000	DB00881	DOID:10763	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6107	0.4918	0.6327	0.7085	0.5969	0.5796	0.6254	0.6570	0.4085	0.2245	0.3410	0.4375	0.2449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35.0000	DB00584	DOID:10763	Y	0.6107	0.4918	0.6327	0.7085	0.5969	0.5796	0.6254	0.6570	0.4085	0.2245	0.3410	0.4375	0.2449	0.6895	0.4918	0.6434	0.7085	0.5969	0.5796	0.6254	1.3060	0.4085	0.6433	0.3410	0.5941	0.2496	0.6895	0.4918	0.6434	0.7085	0.5969	0.5796	0.6254	1.3060	0.4085	0.6433	0.3410	0.5941	0.2496	0.3475	0.4092	0.1142	0.2448	0.2169	0.2955	0.6254	0.2623	0.4059	0.1288	0.2370	0.1451	0.3475	0.7177	1.3158	1.9465	1.8096	2.8025	1.0454	0.9365	1.2699	0.8190	1.1325	0.8261	1.0484	2.7498
12.0000	DB01054	DOID:10763	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3639	0.5714	0.2837	0.3526	0.3517	0.3239	0.3148	0.3980	0.4183	0.2191	0.2670	0.2050	0.3849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9849	1.2407	1.0386	1.8474	1.4303	0.8036	0.6121	0.8697	0.5495	1.2282	0.4599	1.0435	0.8694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40.0000	DB00381	DOID:10763	Y	0.9849	1.2407	1.0386	1.8474	1.4303	0.7857	0.6121	0.8697	0.5495	1.2282	0.4599	1.0435	0.8694	0.9849	1.2407	1.0386	1.8474	1.4303	0.7857	0.6121	1.3060	0.5495	1.2282	0.9438	1.0435	0.8694	0.9849	1.2407	1.0386	1.8474	1.4303	0.7857	0.6121	1.3060	0.5495	1.2282	0.9438	1.0435	1.0465	0.3674	1.2407	0.5644	0.7004	0.6169	0.8036	0.4425	0.8697	0.5215	0.9173	0.4307	0.9355	0.4360	0.7177	1.3158	1.9465	1.8096	2.8025	1.0454	0.9365	1.2699	0.8190	1.1325	0.8261	1.0484	2.7498
7.0000	DB00177	DOID:10763	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1001	0.1283	0.1966	0.2018	0.3517	0.0546	0.1099	0.1685	0.0525	0.0883	0.0550	0.2050	0.1546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4879	1.2005	0.8428	0.9055	1.2129	0.8036	0.7312	1.0130	0.6143	0.9197	0.7729	0.7199	0.6257	0.7177	1.3158	1.9465	1.8096	2.8025	1.0454	0.9365	1.2699	0.8190	1.1325	0.8261	1.0484	2.7498
7.0000	DB00177	DOID:10763	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1001	0.1283	0.1966	0.2018	0.3517	0.0546	0.1099	0.1685	0.0525	0.0883	0.0550	0.2050	0.1546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4879	1.2005	0.8428	0.9055	1.2129	0.8036	0.7312	1.0130	0.6143	0.9197	0.7729	0.7199	0.6257	0.7177	1.3158	1.9465	1.8096	2.8025	1.0454	0.9365	1.2699	0.8190	1.1325	0.8261	1.0484	2.7498
7.0000	DB00177	DOID:10763	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1001	0.1283	0.1966	0.2018	0.3517	0.0546	0.1099	0.1685	0.0525	0.0883	0.0550	0.2050	0.1546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4879	1.2005	0.8428	0.9055	1.2129	0.8036	0.7312	1.0130	0.6143	0.9197	0.7729	0.7199	0.6257	0.7177	1.3158	1.9465	1.8096	2.8025	1.0454	0.9365	1.2699	0.8190	1.1325	0.8261	1.0484	2.7498
10.0000	DB04861	DOID:10763	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
