Fat SQ_fdr	Fat Visceral_fdr	Aorta_fdr	Artery Coronary_fdr	Artery Tibial_fdr	Colon_fdr	Esophagus_fdr	Heart Atrial_fdr	Liver_fdr	Lung_fdr	Nerve Tibial_fdr	Pituitary_fdr	Thyroid_fdr	Fat SQ_amp	Fat Visceral_amp	Aorta_amp	Artery Coronary_amp	Artery Tibial_amp	Colon_amp	Esophagus_amp	Heart Atrial_amp	Liver_amp	Lung_amp	Nerve Tibial_amp	Pituitary_amp	Thyroid_amp	Fat SQ_exp	Fat Visceral_exp	Aorta_exp	Artery Coronary_exp	Artery Tibial_exp	Colon_exp	Esophagus_exp	Heart Atrial_exp	Liver_exp	Lung_exp	Nerve Tibial_exp	Pituitary_exp	Thyroid_exp
0.6432	0.1526	0.8443	0.7712	0.9549	0.5059	0.2928	0.6953	0.9732	0.1760	0.7985	0.9450	0.3571	0.1103	0.2911	0.1176	0.2648	0.0485	0.1284	0.2597	0.1626	0.0873	0.0688	0.0908	0.0684	0.1909	11.8500	9.7530	12.5100	12.3000	11.5900	12.7200	12.3033	5.3690	5.4060	13.6800	19.4800	15.8400	19.2550
0.7652	0.2412	0.0473	0.0002	0.6314	0.8602	0.0820	0.6481	0.6405	0.5373	0.7814	0.8335	0.1475	0.1546	0.3117	0.4138	0.7053	0.0967	0.3035	0.4461	0.2465	0.0465	0.0966	0.0404	0.0482	0.4191	4.8995	3.6870	6.6530	5.9400	8.4190	5.4407	4.6607	2.9620	3.2400	7.0240	12.1100	9.8980	9.7615
0.9075	0.0774	0.7887	0.2173	0.6017	0.3294	0.0696	0.2758	0.3438	0.8842	0.2392	0.5888	0.9412	0.0588	0.3382	0.0259	0.1445	0.0165	0.1099	0.2088	0.1776	0.2813	0.0329	0.0781	0.1048	0.0400	7.7915	8.0540	9.1420	9.0390	11.5200	7.1738	7.6350	14.3500	3.6740	6.0160	5.8720	18.6000	6.5845
0.8656	0.4570	0.5405	0.6391	0.8885	0.3902	0.6801	0.8984	0.3532	0.3642	0.0566	0.5224	0.7223	0.0872	0.1537	0.0414	0.1185	0.0680	0.0926	0.1006	0.0819	0.1841	0.1675	0.1504	0.0531	0.0790	53.3950	48.9800	56.2900	52.2400	62.4100	50.8450	62.9550	30.6700	28.4200	57.3200	69.6600	57.5600	66.5800
0.8808	0.6235	0.4360	0.4999	0.7446	0.7780	0.6238	0.6645	0.9089	0.3584	0.5345	0.7905	0.1019	0.1180	0.2041	0.1266	0.0513	0.1107	0.1788	0.1924	0.0503	0.1025	0.0857	0.1918	0.1505	0.3265	9.9620	9.3560	14.1100	13.5100	10.8000	11.6200	14.5633	4.8700	5.9790	15.6000	9.2240	21.4200	15.4450
0.5645	0.4922	0.0450	0.0276	0.2495	0.0018	0.0019	0.0020	0.2034	0.9388	0.9550	0.0926	0.7713	0.2708	0.2069	0.3495	0.5075	0.2755	0.4568	0.5200	0.4825	0.3751	0.2130	0.0757	0.5197	0.2914	20.9550	23.0800	46.1500	62.8000	96.3200	22.6250	27.0650	28.4400	3.1920	28.8100	35.4450	31.0500	21.0450
0.9473	0.0711	0.3564	0.2505	0.9242	0.7232	0.7022	0.1655	0.1130	0.8858	0.9173	0.6383	0.6015	0.2750	0.4953	0.1259	0.3058	0.1890	0.3912	0.2093	0.3309	1.0062	0.2354	0.1640	0.2769	0.5666	43.5650	44.2100	62.5200	56.2300	63.1600	44.9025	33.0333	22.1100	35.8400	79.4600	48.8250	37.2400	40.4350
0.0748	0.0412	0.8241	0.1241	0.6553	0.0370	0.4030	0.7615	0.9070	0.8394	0.1416	0.9761	0.9314	0.2956	0.3792	0.1245	0.2515	0.1654	0.3118	0.1629	0.1595	0.1340	0.1684	0.2342	0.1390	0.0730	18.3900	22.6200	25.5900	26.3200	22.7600	20.4375	23.6017	9.1030	14.0700	52.3900	23.6050	17.5300	96.4050
0.1696	0.4456	0.5459	0.5814	0.9477	0.3652	0.1697	0.1189	0.9682	0.7341	0.6885	0.2847	0.4625	0.1972	0.1753	0.1460	0.2427	0.0742	0.1852	0.2170	0.2359	0.0903	0.1319	0.0952	0.1355	0.1561	9.1470	6.1040	7.4300	8.1070	7.3380	8.8275	8.4467	3.0620	4.0900	10.3200	13.7850	8.5860	13.3500
0.9877	0.6929	0.5336	0.8101	0.5551	0.3402	0.9613	0.1820	0.9070	0.9878	0.8744	0.9011	0.6951	0.0536	0.0923	0.2242	0.2700	0.2412	0.3009	0.3417	0.6977	0.2400	0.1687	0.0561	0.2010	0.1854	9.2355	15.3200	2.5600	2.9610	1.7310	3.3170	1.7570	2.2130	0.6220	12.7500	2.4310	3.2610	10.0800
