cumulative_attempts	attempts	complete	unchanged	same_edge	self_loop	duplicate	undirected_duplicate	excluded	metaedge	abbrev	permutation
102240	102241	0.1	0.50811	1.9562e-05	0.00011737	0.54906	0.00043036	0	Anatomy - downregulates - Gene	AdG	126
204480	102240	0.2	0.38416	0	8.8028e-05	0.55618	0.00048905	0	Anatomy - downregulates - Gene	AdG	126
306720	102240	0.3	0.35101	0	0.00010759	0.56099	0.00058685	0	Anatomy - downregulates - Gene	AdG	126
408960	102240	0.4	0.34173	1.9562e-05	8.8028e-05	0.55775	0.00073357	0	Anatomy - downregulates - Gene	AdG	126
511200	102240	0.5	0.33798	0	5.8685e-05	0.56048	0.00049883	0	Anatomy - downregulates - Gene	AdG	126
613440	102240	0.6	0.33686	0	0.00010759	0.56066	0.00058685	0	Anatomy - downregulates - Gene	AdG	126
715680	102240	0.7	0.33653	9.7809e-06	0.00010759	0.56052	0.0004597	0	Anatomy - downregulates - Gene	AdG	126
817920	102240	0.8	0.33807	9.7809e-06	0.00014671	0.55776	0.00052817	0	Anatomy - downregulates - Gene	AdG	126
920160	102240	0.9	0.33664	0	6.8466e-05	0.56117	0.00046948	0	Anatomy - downregulates - Gene	AdG	126
1022399	102239	1	0.33794	1.9562e-05	0.00011737	0.55932	0.00049883	0	Anatomy - downregulates - Gene	AdG	126
526407	526408	0.1	0.85399	1.8997e-06	9.6883e-05	0.90077	0.0011474	0	Anatomy - expresses - Gene	AeG	126
1052814	526407	0.2	0.77871	0	9.1184e-05	0.90455	0.0012215	0	Anatomy - expresses - Gene	AeG	126
1579221	526407	0.3	0.73728	0	9.1184e-05	0.90541	0.0012652	0	Anatomy - expresses - Gene	AeG	126
2105628	526407	0.4	0.71326	0	7.9786e-05	0.90569	0.0013811	0	Anatomy - expresses - Gene	AeG	126
2632035	526407	0.5	0.69897	1.8997e-06	8.5485e-05	0.90595	0.0014456	0	Anatomy - expresses - Gene	AeG	126
3158442	526407	0.6	0.69025	3.7993e-06	0.00012158	0.90519	0.001476	0	Anatomy - expresses - Gene	AeG	126
3684849	526407	0.7	0.68478	0	0.00011018	0.90503	0.0015235	0	Anatomy - expresses - Gene	AeG	126
4211256	526407	0.8	0.68132	1.8997e-06	0.00010258	0.90542	0.001495	0	Anatomy - expresses - Gene	AeG	126
4737663	526407	0.9	0.67978	0	7.0288e-05	0.90575	0.0016356	0	Anatomy - expresses - Gene	AeG	126
5264069	526406	1	0.67807	1.8997e-06	8.7385e-05	0.90538	0.0015843	0	Anatomy - expresses - Gene	AeG	126
97848	97849	0.1	0.41283	3.0659e-05	0.00012264	0.4267	0.00063363	0	Anatomy - upregulates - Gene	AuG	126
195696	97848	0.2	0.28726	1.022e-05	0.00013286	0.43527	0.00052122	0	Anatomy - upregulates - Gene	AuG	126
293544	97848	0.3	0.26027	0	0.0001533	0.43169	0.0005621	0	Anatomy - upregulates - Gene	AuG	126
391392	97848	0.4	0.25521	0	0.00016352	0.43131	0.00064386	0	Anatomy - upregulates - Gene	AuG	126
489240	97848	0.5	0.25356	0	0.00012264	0.43325	0.00049056	0	Anatomy - upregulates - Gene	AuG	126
587088	97848	0.6	0.25076	0	8.1759e-05	0.43384	0.00067452	0	Anatomy - upregulates - Gene	AuG	126
684936	97848	0.7	0.25039	0	0.0001022	0.43161	0.00049056	0	Anatomy - upregulates - Gene	AuG	126
782784	97848	0.8	0.25148	0	0.00011242	0.43374	0.00075628	0	Anatomy - upregulates - Gene	AuG	126
880632	97848	0.9	0.25208	0	9.1979e-05	0.43311	0.0006132	0	Anatomy - upregulates - Gene	AuG	126
978479	97847	1	0.24962	3.066e-05	8.176e-05	0.43244	0.00055188	0	Anatomy - upregulates - Gene	AuG	126
12972	12973	0.10001	0.17707	0	0.0021583	0.056117	0.043089	0	Compound - resembles - Compound	CrC	126
25944	12972	0.20001	0.057817	0	0.0040086	0.059127	0.055581	0	Compound - resembles - Compound	CrC	126
38916	12972	0.30001	0.039315	7.7089e-05	0.0022356	0.05535	0.056275	0	Compound - resembles - Compound	CrC	126
51888	12972	0.40001	0.033225	0.00015418	0.0023898	0.055119	0.058742	0	Compound - resembles - Compound	CrC	126
64860	12972	0.50001	0.034767	0	0.0023898	0.052575	0.057354	0	Compound - resembles - Compound	CrC	126
77832	12972	0.60001	0.036078	0	0.0032377	0.052883	0.054502	0	Compound - resembles - Compound	CrC	126
90804	12972	0.70001	0.03284	0	0.0026981	0.053962	0.057586	0	Compound - resembles - Compound	CrC	126
103776	12972	0.80001	0.034382	0.00015418	0.0033919	0.050879	0.056738	0	Compound - resembles - Compound	CrC	126
116748	12972	0.90001	0.035307	7.7089e-05	0.0038545	0.057431	0.056738	0	Compound - resembles - Compound	CrC	126
129719	12971	1	0.034921	0	0.0037777	0.053581	0.053041	0	Compound - resembles - Compound	CrC	126
390	391	0.10026	0.21026	0	0	0.15601	0	0	Compound - palliates - Disease	CpD	126
780	390	0.20026	0.11282	0.0025641	0	0.13333	0	0	Compound - palliates - Disease	CpD	126
1170	390	0.30026	0.094872	0	0.0025641	0.16667	0	0	Compound - palliates - Disease	CpD	126
1560	390	0.40026	0.11795	0.0051282	0	0.15641	0	0	Compound - palliates - Disease	CpD	126
1950	390	0.50026	0.092308	0	0	0.16154	0	0	Compound - palliates - Disease	CpD	126
2340	390	0.60026	0.10256	0.0051282	0	0.15641	0	0	Compound - palliates - Disease	CpD	126
2730	390	0.70026	0.079487	0	0	0.11795	0	0	Compound - palliates - Disease	CpD	126
3120	390	0.80026	0.094872	0.0051282	0	0.14615	0	0	Compound - palliates - Disease	CpD	126
3510	390	0.90026	0.11795	0	0	0.18462	0	0	Compound - palliates - Disease	CpD	126
3899	389	1	0.12051	0.0025707	0.0025707	0.17738	0	0	Compound - palliates - Disease	CpD	126
