	metapath	dwwc-chain	dwwc-recursive	recursive_cached
0	DtC	0.011341094970703125	0.012894630432128906	False
1	DpS	0.006948709487915039	0.007117271423339844	False
2	DuG	0.019622087478637695	0.01929450035095215	False
3	DaG	0.008440732955932617	0.008628129959106445	False
4	DdG	0.00776982307434082	0.008748054504394531	False
5	DlA	0.008074522018432617	0.008477210998535156	False
6	DpC	0.005759716033935547	0.005731821060180664	False
7	DrD	0.004893779754638672	0.00537419319152832	False
8	DtCbG	0.012881994247436523	0.014075040817260742	False
9	DtCtD	0.009217977523803711	0.005590677261352539	False
10	DtCrC	0.010600566864013672	0.012149810791015625	False
11	DtCpD	0.011307239532470703	0.00606989860534668	False
12	DtCdG	0.014914512634277344	0.015995264053344727	False
13	DtCcSE	0.028497695922851562	0.032709598541259766	False
14	DtCiPC	0.012628316879272461	0.014157295227050781	False
15	DtCuG	0.01676034927368164	0.020472288131713867	False
16	DpSpD	0.01410675048828125	0.009639978408813477	False
17	DuGr>G	0.06625747680664062	0.07134437561035156	False
18	DuGuA	0.03970742225646973	0.037447214126586914	False
19	DuGcG	0.05173206329345703	0.051705121994018555	False
20	DuGbC	0.020368337631225586	0.01131749153137207	False
21	DuGpCC	0.02909684181213379	0.02860260009765625	False
22	DuGuD	0.01555490493774414	0.009007453918457031	False
23	DuGaD	0.01600360870361328	0.00934600830078125	False
24	DuGuC	0.01852869987487793	0.010395288467407227	False
25	DuGdC	0.017187118530273438	0.010116338729858398	False
26	DuGdD	0.01769423484802246	0.009296655654907227	False
27	DuGdA	0.022753000259399414	0.025890827178955078	False
28	DuGpBP	0.10853886604309082	0.1362013816833496	False
29	DuGiG	0.07642912864685059	0.0873110294342041	False
30	DuGpPW	0.03827381134033203	0.03846240043640137	False
31	DuGpMF	0.04367780685424805	0.04123210906982422	False
32	DuG<rG	0.04998135566711426	0.023160934448242188	False
33	DuGeA	0.057268619537353516	0.055222511291503906	False
34	DaGr>G	0.050170183181762695	0.026067018508911133	False
35	DaGuA	0.026473522186279297	0.013616085052490234	False
36	DaGcG	0.03386878967285156	0.014565706253051758	False
37	DaGbC	0.016851186752319336	0.010574102401733398	False
38	DaGpCC	0.024948596954345703	0.01244044303894043	False
39	DaGuD	0.01710820198059082	0.0004451274871826172	True
40	DaGaD	0.01777052879333496	0.0107269287109375	False
41	DaGuC	0.017572641372680664	0.013410091400146484	False
42	DaGdC	0.02405524253845215	0.01402902603149414	False
43	DaGdD	0.023630380630493164	0.013348579406738281	False
44	DaGdA	0.037531137466430664	0.01714158058166504	False
45	DaGpBP	0.12166976928710938	0.05445671081542969	False
46	DaGiG	0.09227919578552246	0.039722442626953125	False
47	DaGpPW	0.029674768447875977	0.015577554702758789	False
48	DaGpMF	0.030292272567749023	0.014333486557006836	False
49	DaG<rG	0.05400204658508301	0.028238773345947266	False
50	DaGeA	0.05910158157348633	0.02294468879699707	False
51	DdGr>G	0.0426182746887207	0.018744945526123047	False
52	DdGuA	0.03027629852294922	0.01165914535522461	False
53	DdGcG	0.032286643981933594	0.013528585433959961	False
54	DdGbC	0.016305923461914062	0.009376049041748047	False
55	DdGpCC	0.0235135555267334	0.010993003845214844	False
56	DdGuD	0.015796422958374023	0.0004935264587402344	True
57	DdGaD	0.016777992248535156	0.0004646778106689453	True
58	DdGuC	0.01665329933166504	0.009706497192382812	False
59	DdGdC	0.01624298095703125	0.009504318237304688	False
60	DdGdD	0.017650365829467773	0.009721755981445312	False
61	DdGdA	0.024075031280517578	0.01218104362487793	False
62	DdGpBP	0.0685873031616211	0.02637958526611328	False
63	DdGiG	0.05499529838562012	0.019329071044921875	False
64	DdGpPW	0.022603273391723633	0.01133275032043457	False
65	DdGpMF	0.022832155227661133	0.011304140090942383	False
66	DdG<rG	0.05321168899536133	0.023429393768310547	False
67	DdGeA	0.05146527290344238	0.024711132049560547	False
68	DlAuG	0.054816484451293945	0.04708290100097656	False
69	DlAlD	0.012656927108764648	0.0067291259765625	False
70	DlAdG	0.0585932731628418	0.045267343521118164	False
71	DlAeG	0.1608574390411377	0.12241244316101074	False
72	DpCbG	0.013071298599243164	0.006342172622680664	False
73	DpCtD	0.010947942733764648	0.0004620552062988281	True
74	DpCrC	0.011163949966430664	0.005966901779174805	False
75	DpCpD	0.009188413619995117	0.0075054168701171875	False
76	DpCdG	0.01598954200744629	0.0070416927337646484	False
77	DpCcSE	0.021689653396606445	0.009857177734375	False
78	DpCiPC	0.013189077377319336	0.006272077560424805	False
79	DpCuG	0.013736248016357422	0.007081270217895508	False
80	DrDtC	0.009556055068969727	0.005661725997924805	False
81	DrDpS	0.010516643524169922	0.006384372711181641	False
82	DrDuG	0.014738321304321289	0.00851583480834961	False
83	DrDaG	0.016376495361328125	0.01011514663696289	False
84	DrDdG	0.016981840133666992	0.009220123291015625	False
85	DrDlA	0.010553121566772461	0.006821632385253906	False
86	DrDpC	0.009209394454956055	0.005381107330322266	False
87	DrDrD	0.009003162384033203	0.0057773590087890625	False
88	DtCbGr>G	0.050392866134643555	0.03650045394897461	False
89	DtCbGuA	0.030089855194091797	0.018537044525146484	False
90	DtCbGcG	0.03366875648498535	0.020255088806152344	False
91	DtCbGbC	0.024828195571899414	0.05199408531188965	False
92	DtCbGpCC	0.026247262954711914	0.01742386817932129	False
93	DtCbGuD	0.023549556732177734	0.006688356399536133	False
94	DtCbGaD	0.022077083587646484	0.006938934326171875	False
95	DtCbGuC	0.020926475524902344	0.014726400375366211	False
96	DtCbGdC	0.02013707160949707	0.014643192291259766	False
97	DtCbGdD	0.023345947265625	0.006033420562744141	False
98	DtCbGdA	0.026117324829101562	0.01804637908935547	False
99	DtCbGpBP	0.08266901969909668	0.059459686279296875	False
100	DtCbGiG	0.05546140670776367	0.03266453742980957	False
101	DtCbGpPW	0.028300046920776367	0.020760297775268555	False
102	DtCbGpMF	0.02782893180847168	0.021556854248046875	False
103	DtCbG<rG	0.05424070358276367	0.03534960746765137	False
104	DtCbGeA	0.05393648147583008	0.030709028244018555	False
105	DtCtDtC	0.014261722564697266	0.012025594711303711	False
106	DtCtDpS	0.01743316650390625	0.012921333312988281	False
107	DtCtDuG	0.023476839065551758	0.020572900772094727	False
108	DtCtDaG	0.02527761459350586	0.028028488159179688	False
109	DtCtDdG	0.025725603103637695	0.021134614944458008	False
110	DtCtDlA	0.015212059020996094	0.013731002807617188	False
111	DtCtDpC	0.013920307159423828	0.01094961166381836	False
112	DtCtDrD	0.016135215759277344	0.006107807159423828	False
113	DtCrCbG	0.018628358840942383	0.01517343521118164	False
114	DtCrCtD	0.016060829162597656	0.00594782829284668	False
115	DtCrCrC	0.01661992073059082	0.015727996826171875	False
116	DtCrCpD	0.01750016212463379	0.00583338737487793	False
117	DtCrCdG	0.021170377731323242	0.020535945892333984	False
118	DtCrCcSE	0.03135204315185547	0.04803586006164551	False
119	DtCrCiPC	0.01829814910888672	0.012328147888183594	False
120	DtCrCuG	0.021019935607910156	0.01874566078186035	False
121	DtCpDtC	0.013723611831665039	0.0054018497467041016	False
122	DtCpDpS	0.013839006423950195	0.012152433395385742	False
123	DtCpDuG	0.02088141441345215	0.014650821685791016	False
124	DtCpDaG	0.0187227725982666	0.01495981216430664	False
125	DtCpDdG	0.017458438873291016	0.01459956169128418	False
126	DtCpDlA	0.017125844955444336	0.01232290267944336	False
127	DtCpDpC	0.013947725296020508	0.01080632209777832	False
128	DtCpDrD	0.013300418853759766	0.005514621734619141	False
129	DtCdGr>G	0.07016491889953613	0.07623076438903809	False
130	DtCdGuA	0.03186511993408203	0.019175291061401367	False
131	DtCdGcG	0.04051399230957031	0.0278475284576416	False
132	DtCdGbC	0.020662546157836914	0.005769252777099609	False
133	DtCdGpCC	0.03176522254943848	0.021343469619750977	False
134	DtCdGuD	0.02132391929626465	0.005766153335571289	False
135	DtCdGaD	0.021007299423217773	0.005742788314819336	False
136	DtCdGuC	0.02567124366760254	0.019537925720214844	False
137	DtCdGdC	0.025369644165039062	0.027765274047851562	False
138	DtCdGdD	0.02109217643737793	0.005770683288574219	False
139	DtCdGdA	0.03276395797729492	0.019526958465576172	False
140	DtCdGpBP	0.09716248512268066	0.06871390342712402	False
141	DtCdGiG	0.06772685050964355	0.0634012222290039	False
142	DtCdGpPW	0.03567242622375488	0.026534080505371094	False
143	DtCdGpMF	0.031899213790893555	0.022374629974365234	False
144	DtCdG<rG	0.0797882080078125	0.16652226448059082	False
145	DtCdGeA	0.05139446258544922	0.03333401679992676	False
146	DtCcSEcC	0.05649399757385254	0.18273520469665527	False
147	DtCiPCiC	0.014895200729370117	0.011298656463623047	False
148	DtCuGr>G	0.07217669486999512	0.06867432594299316	False
149	DtCuGuA	0.028394699096679688	0.018469572067260742	False
150	DtCuGcG	0.04462170600891113	0.02909684181213379	False
151	DtCuGbC	0.02130293846130371	0.0061075687408447266	False
152	DtCuGpCC	0.03156566619873047	0.02121257781982422	False
153	DtCuGuD	0.02168107032775879	0.0057222843170166016	False
154	DtCuGaD	0.0211942195892334	0.005775928497314453	False
